Professor,Publication Type,Venue,Title,Authors,Year,Research Field,Research Fields,Research Field Percentages,2D Points
Andreas Geiger,Conference or Workshop Paper,ECCV (32),ARAH: Animatable Volume Rendering of Articulated Human SDFs.,Shaofei Wang;Katja Schwarz;Andreas Geiger;Siyu Tang,2022,Computer Vision,['Computer Vision'],[1.0],"[14.034523963928223, 56.6159782409668]"
Andreas Geiger,Conference or Workshop Paper,ECCV (32),TensoRF: Tensorial Radiance Fields.,Anpei Chen;Zexiang Xu;Andreas Geiger;Jingyi Yu;Hao Su,2022,Computer Vision,['Computer Vision'],[1.0],"[22.662057876586914, 31.01360511779785]"
Andreas Geiger,Conference or Workshop Paper,ECCV (38),KING: Generating Safety-Critical Driving Scenarios for Robust Imitation via Kinematics Gradients.,Niklas Hanselmann;Katrin Renz;Kashyap Chitta;Apratim Bhattacharyya;Andreas Geiger,2022,Machine Learning,['Machine Learning'],[0.75],"[-29.482084274291992, 35.31825637817383]"
Andreas Geiger,Conference or Workshop Paper,VISIGRAPP,Neural Implicit Representations for 3D Vision and Beyond.,Andreas Geiger,2022,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[28.670190811157227, 40.40118408203125]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS,VoxGRAF: Fast 3D-Aware Image Synthesis with Sparse Voxel Grids.,Katja Schwarz;Axel Sauer;Michael Niemeyer;Yiyi Liao;Andreas Geiger,2022,Computer Vision,['Computer Vision'],[0.8],"[23.382638931274414, 28.41707420349121]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS,MonoSDF: Exploring Monocular Geometric Cues for Neural Implicit Surface Reconstruction.,Zehao Yu;Songyou Peng;Michael Niemeyer;Torsten Sattler;Andreas Geiger,2022,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[29.88052749633789, 33.00190353393555]"
Andreas Geiger,Conference or Workshop Paper,SIGGRAPH (Conference Paper Track),StyleGAN-XL: Scaling StyleGAN to Large Diverse Datasets.,Axel Sauer;Katja Schwarz;Andreas Geiger,2022,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[27.060239791870117, 2.310389280319214]"
Andreas Geiger,Informal or Other Publication,CoRR,TransFuser: Imitation with Transformer-Based Sensor Fusion for Autonomous Driving.,Kashyap Chitta;Aditya Prakash;Bernhard Jaeger;Zehao Yu;Katrin Renz;Andreas Geiger,2022,Computer Vision,['Computer Vision'],[0.5],"[-28.499374389648438, 34.18056106567383]"
Andreas Geiger,Informal or Other Publication,CoRR,GOOD: Exploring Geometric Cues for Detecting Objects in an Open World.,Haiwen Huang;Andreas Geiger;Dan Zhang,2022,Computer Vision,['Computer Vision'],[1.0],"[-18.101924896240234, 0.14378394186496735]"
Andreas Geiger,Journal Article,Int. J. Comput. Vis.,HOTA: A Higher Order Metric for Evaluating Multi-object Tracking.,Jonathon Luiten;Aljosa Osep;Patrick Dendorfer;Philip H. S. Torr;Andreas Geiger;Laura Leal-Taixé;Bastian Leibe,2021,Computer Vision,"['Computer Vision', 'Robotics']","[0.5, 0.5]","[47.92961883544922, 10.081976890563965]"
Andreas Geiger,Journal Article,Int. J. Comput. Vis.,Computer Vision and Pattern Recognition 2020.,Zeynep Akata;Andreas Geiger;Torsten Sattler,2021,Computer Vision,['Computer Vision'],[1.0],"[-26.303730010986328, 21.96513557434082]"
Andreas Geiger,Journal Article,J. Mach. Learn. Res.,Benchmarking Unsupervised Object Representations for Video Sequences.,Marissa A. Weis;Kashyap Chitta;Yash Sharma;Wieland Brendel;Matthias Bethge;Andreas Geiger;Alexander S. Ecker,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6, 0.4]","[41.25751876831055, 5.022695064544678]"
Andreas Geiger,Journal Article,IEEE Trans. Image Process.,Learning Steering Kernels for Guided Depth Completion.,Lina Liu;Yiyi Liao;Yue Wang;Andreas Geiger;Yong Liu,2021,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[10.832916259765625, 22.976787567138672]"
Andreas Geiger,Conference or Workshop Paper,3DV,CAMPARI: Camera-Aware Decomposed Generative Neural Radiance Fields.,Michael Niemeyer;Andreas Geiger,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[22.40869903564453, 32.51939392089844]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Neural Parts: Learning Expressive 3D Shape Abstractions With Invertible Neural Networks.,Despoina Paschalidou;Angelos Katharopoulos;Andreas Geiger;Sanja Fidler,2021,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6, 0.4]","[16.051036834716797, 9.207319259643555]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Multi-Modal Fusion Transformer for End-to-End Autonomous Driving.,Aditya Prakash;Kashyap Chitta;Andreas Geiger,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[-26.09506607055664, 33.07840347290039]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Locally Aware Piecewise Transformation Fields for 3D Human Mesh Registration.,Shaofei Wang;Andreas Geiger;Siyu Tang,2021,Computer Vision,['Computer Vision'],[0.5],"[29.958744049072266, 50.05792236328125]"
Andreas Geiger,Conference or Workshop Paper,CVPR,SMD-Nets: Stereo Mixture Density Networks.,Fabio Tosi;Yiyi Liao;Carolin Schmitt;Andreas Geiger,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[19.127195358276367, 21.847980499267578]"
Andreas Geiger,Conference or Workshop Paper,CVPR,GIRAFFE: Representing Scenes As Compositional Generative Neural Feature Fields.,Michael Niemeyer;Andreas Geiger,2021,Machine Learning,['Machine Learning'],[0.75],"[20.898693084716797, 35.745506286621094]"
Andreas Geiger,Conference or Workshop Paper,ICCV,UNISURF: Unifying Neural Implicit Surfaces and Radiance Fields for Multi-View Reconstruction.,Michael Oechsle;Songyou Peng;Andreas Geiger,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[25.041690826416016, 33.343605041503906]"
Andreas Geiger,Conference or Workshop Paper,ICCV,SNARF: Differentiable Forward Skinning for Animating Non-Rigid Neural Implicit Shapes.,Xu Chen;Yufeng Zheng;Michael J. Black;Otmar Hilliges;Andreas Geiger,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[27.067054748535156, 78.62959289550781]"
Andreas Geiger,Conference or Workshop Paper,ICCV,SLIM: Self-Supervised LiDAR Scene Flow and Motion Segmentation.,Stefan Andreas Baur;David Josef Emmerichs;Frank Moosmann;Peter Pinggera;Björn Ommer;Andreas Geiger,2021,Computer Vision,['Computer Vision'],[0.8],"[54.783477783203125, 26.870716094970703]"
Andreas Geiger,Conference or Workshop Paper,ICCV,KiloNeRF: Speeding up Neural Radiance Fields with Thousands of Tiny MLPs.,Christian Reiser;Songyou Peng;Yiyi Liao;Andreas Geiger,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[20.90267562866211, 32.02417755126953]"
Andreas Geiger,Conference or Workshop Paper,ICCV,NEAT: Neural Attention Fields for End-to-End Autonomous Driving.,Kashyap Chitta;Aditya Prakash;Andreas Geiger,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[-25.98179817199707, 31.912446975708008]"
Andreas Geiger,Conference or Workshop Paper,ICLR,Counterfactual Generative Networks.,Axel Sauer;Andreas Geiger,2021,Machine Learning,['Machine Learning'],[1.0],"[1.350694179534912, -6.024117946624756]"
Andreas Geiger,Conference or Workshop Paper,IV,Learning Cascaded Detection Tasks with Weakly-Supervised Domain Adaptation.,Niklas Hanselmann;Nick Schneider;Benedikt Ortelt;Andreas Geiger,2021,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6, 0.4]","[17.68780517578125, -21.898000717163086]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS,MetaAvatar: Learning Animatable Clothed Human Models from Few Depth Images.,Shaofei Wang;Marko Mihajlovic;Qianli Ma;Andreas Geiger;Siyu Tang,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6, 0.4]","[34.603111267089844, 53.991207122802734]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS,ATISS: Autoregressive Transformers for Indoor Scene Synthesis.,Despoina Paschalidou;Amlan Kar;Maria Shugrina;Karsten Kreis;Andreas Geiger;Sanja Fidler,2021,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[19.169584274291992, 39.03092956542969]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS,Shape As Points: A Differentiable Poisson Solver.,Songyou Peng;Chiyu Jiang;Yiyi Liao;Michael Niemeyer;Marc Pollefeys;Andreas Geiger,2021,Computer Vision,['Computer Vision'],[1.0],"[41.81218719482422, -37.34733963012695]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS,Projected GANs Converge Faster.,Axel Sauer;Kashyap Chitta;Jens Müller;Andreas Geiger,2021,Computer Vision,['Computer Vision'],[1.0],"[59.383541107177734, -13.930508613586426]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS,On the Frequency Bias of Generative Models.,Katja Schwarz;Yiyi Liao;Andreas Geiger,2021,Machine Learning,['Machine Learning'],[1.0],"[38.44692611694336, -13.646232604980469]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS Datasets and Benchmarks,STEP: Segmenting and Tracking Every Pixel.,Mark Weber;Jun Xie;Maxwell D. Collins;Yukun Zhu;Paul Voigtlaender;Hartwig Adam;Bradley Green;Andreas Geiger;Bastian Leibe;Daniel Cremers;Aljosa Osep;Laura Leal-Taixé;Liang-Chieh Chen,2021,Computer Vision,"['Computer Vision', 'Robotics']","[0.6666666666666666, 0.3333333333333333]","[54.13682174682617, 36.417110443115234]"
Andreas Geiger,Informal or Other Publication,CoRR,Neural Parts: Learning Expressive 3D Shape Abstractions with Invertible Neural Networks.,Despoina Paschalidou;Angelos Katharopoulos;Andreas Geiger;Sanja Fidler,2021,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6, 0.4]","[16.050899505615234, 9.205528259277344]"
Andreas Geiger,Journal Article,Found. Trends Comput. Graph. Vis.,"Computer Vision for Autonomous Vehicles: Problems, Datasets and State of the Art.",Joel Janai;Fatma Güney;Aseem Behl;Andreas Geiger,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[-23.969694137573242, 24.1685733795166]"
Andreas Geiger,Journal Article,Int. J. Comput. Vis.,Learning 3D Shape Completion Under Weak Supervision.,David Stutz;Andreas Geiger,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6, 0.4]","[31.240234375, 45.785255432128906]"
Andreas Geiger,Journal Article,IEEE Robotics Autom. Lett.,Self-Supervised Linear Motion Deblurring.,Peidong Liu;Joel Janai;Marc Pollefeys;Torsten Sattler;Andreas Geiger,2020,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[62.25665283203125, 35.836814880371094]"
Andreas Geiger,Conference or Workshop Paper,3DV,Learning Implicit Surface Light Fields.,Michael Oechsle;Michael Niemeyer;Christian Reiser;Lars M. Mescheder;Thilo Strauss;Andreas Geiger,2020,Machine Learning,['Machine Learning'],[1.0],"[26.52021598815918, 32.758522033691406]"
Andreas Geiger,Conference or Workshop Paper,3DV,Intrinsic Autoencoders for Joint Deferred Neural Rendering and Intrinsic Image Decomposition.,Hassan Abu Alhaija;Siva Karthik Mustikovela;Justus Thies;Varun Jampani;Matthias Nießner;Andreas Geiger;Carsten Rother,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[33.71913146972656, 20.110204696655273]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Learning Unsupervised Hierarchical Part Decomposition of 3D Objects From a Single RGB Image.,Despoina Paschalidou;Luc Van Gool;Andreas Geiger,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.625, 0.375]","[35.163761138916016, 46.71895980834961]"
Andreas Geiger,Conference or Workshop Paper,CVPR,"On Joint Estimation of Pose, Geometry and svBRDF From a Handheld Scanner.",Carolin Schmitt;Simon Donné;Gernot Riegler;Vladlen Koltun;Andreas Geiger,2020,Computer Vision,['Computer Vision'],[1.0],"[73.631103515625, 3.115208625793457]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Differentiable Volumetric Rendering: Learning Implicit 3D Representations Without 3D Supervision.,Michael Niemeyer;Lars M. Mescheder;Michael Oechsle;Andreas Geiger,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6, 0.4]","[29.512773513793945, 41.87331008911133]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Towards Unsupervised Learning of Generative Models for 3D Controllable Image Synthesis.,Yiyi Liao;Katja Schwarz;Lars M. Mescheder;Andreas Geiger,2020,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.5555555555555556, 0.4444444444444444]","[24.816862106323242, 24.91996192932129]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Learning Situational Driving.,Eshed Ohn-Bar;Aditya Prakash;Aseem Behl;Kashyap Chitta;Andreas Geiger,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[-38.4017333984375, 23.015155792236328]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Exploring Data Aggregation in Policy Learning for Vision-Based Urban Autonomous Driving.,Aditya Prakash;Aseem Behl;Eshed Ohn-Bar;Kashyap Chitta;Andreas Geiger,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.6666666666666666, 0.3333333333333333]","[-30.253366470336914, 29.904794692993164]"
Andreas Geiger,Conference or Workshop Paper,ECCV (26),Category Level Object Pose Estimation via Neural Analysis-by-Synthesis.,Xu Chen;Zijian Dong;Jie Song;Andreas Geiger;Otmar Hilliges,2020,Computer Vision,['Computer Vision'],[0.8],"[45.609954833984375, 35.969879150390625]"
Andreas Geiger,Conference or Workshop Paper,ECCV (3),Convolutional Occupancy Networks.,Songyou Peng;Michael Niemeyer;Lars M. Mescheder;Marc Pollefeys;Andreas Geiger,2020,Computer Vision,['Computer Vision'],[0.5],"[18.846641540527344, 17.762065887451172]"
Andreas Geiger,Conference or Workshop Paper,IROS,Label Efficient Visual Abstractions for Autonomous Driving.,Aseem Behl;Kashyap Chitta;Aditya Prakash;Eshed Ohn-Bar;Andreas Geiger,2020,Computer Vision,"['Computer Vision', 'Visualization']","[0.6666666666666666, 0.3333333333333333]","[-26.545927047729492, 30.196260452270508]"
Andreas Geiger,Conference or Workshop Paper,NeurIPS,GRAF: Generative Radiance Fields for 3D-Aware Image Synthesis.,Katja Schwarz;Yiyi Liao;Michael Niemeyer;Andreas Geiger,2020,Computer Vision,['Computer Vision'],[0.8],"[23.083145141601562, 29.13902473449707]"
Andreas Geiger,Informal or Other Publication,CoRR,Learning Unsupervised Hierarchical Part Decomposition of 3D Objects from a Single RGB Image.,Despoina Paschalidou;Luc Van Gool;Andreas Geiger,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.625, 0.375]","[35.16255187988281, 46.717933654785156]"
Andreas Geiger,Informal or Other Publication,CoRR,Learning Neural Light Transport.,Paul Sanzenbacher;Lars M. Mescheder;Andreas Geiger,2020,Machine Learning,['Machine Learning'],[1.0],"[13.785365104675293, 26.685636520385742]"
Andreas Geiger,Informal or Other Publication,CoRR,Unmasking the Inductive Biases of Unsupervised Object Representations for Video Sequences.,Marissa A. Weis;Kashyap Chitta;Yash Sharma;Wieland Brendel;Matthias Bethge;Andreas Geiger;Alexander S. Ecker,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[41.89308547973633, 3.342465877532959]"
Andreas Geiger,Informal or Other Publication,CoRR,Intrinsic Autoencoders for Joint Neural Rendering and Intrinsic Image Decomposition.,Hassan Abu Alhaija;Siva Karthik Mustikovela;Justus Thies;Matthias Nießner;Andreas Geiger;Carsten Rother,2020,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[33.71760940551758, 20.199689865112305]"
Andreas Geiger,Informal or Other Publication,CoRR,HOTA: A Higher Order Metric for Evaluating Multi-Object Tracking.,Jonathon Luiten;Aljosa Osep;Patrick Dendorfer;Philip H. S. Torr;Andreas Geiger;Laura Leal-Taixé;Bastian Leibe,2020,Computer Vision,"['Computer Vision', 'Robotics']","[0.5, 0.5]","[47.9296760559082, 10.082030296325684]"
Andreas Geiger,Informal or Other Publication,CoRR,GIRAFFE: Representing Scenes as Compositional Generative Neural Feature Fields.,Michael Niemeyer;Andreas Geiger,2020,Machine Learning,['Machine Learning'],[0.75],"[20.90648651123047, 35.750587463378906]"
Andreas Geiger,Conference or Workshop Paper,3DV,NoVA: Learning to See in Novel Viewpoints and Domains.,Benjamin Coors;Alexandru Paul Condurache;Andreas Geiger,2019,Machine Learning,"['Machine Learning', 'Computer Vision']","[0.6666666666666666, 0.3333333333333333]","[13.375449180603027, -19.112897872924805]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Occupancy Networks: Learning 3D Reconstruction in Function Space.,Lars M. Mescheder;Michael Oechsle;Michael Niemeyer;Sebastian Nowozin;Andreas Geiger,2019,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.42857142857142855, 0.42857142857142855]","[34.29368209838867, 39.49358367919922]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Taking a Deeper Look at the Inverse Compositional Algorithm.,Zhaoyang Lv;Frank Dellaert;James M. Rehg;Andreas Geiger,2019,Machine Learning,['Machine Learning'],[1.0],"[-85.5389404296875, -7.465353012084961]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Connecting the Dots: Learning Representations for Active Monocular Depth Estimation.,Gernot Riegler;Yiyi Liao;Simon Donné;Vladlen Koltun;Andreas Geiger,2019,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[29.059131622314453, 30.77682113647461]"
Andreas Geiger,Conference or Workshop Paper,CVPR,Learning Non-Volumetric Depth Fusion Using Successive Reprojections.,Simon Donné;Andreas Geiger,2019,Computer Vision,"['Computer Vision', 'Machine Learning']","[0.5, 0.5]","[-2.8682708740234375, 85.75812530517578]"
