Professor,Publication Type,Venue,Title,Authors,Year
Andreas Geiger,Paper,CoRR,{NICER-SLAM:} Neural Implicit Scene Encoding for {RGB} {SLAM},Zihan Zhu;Songyou Peng;Viktor Larsson;Zhaopeng Cui;Martin R. Oswald;Andreas Geiger;Marc Pollefeys,2023
Andreas Geiger,Paper,CoRR,"{MERF:} Memory-Efficient Radiance Fields for Real-time View Synthesis
in Unbounded Scenes",Christian Reiser;Richard Szeliski;Dor Verbin;Pratul P. Srinivasan;Ben Mildenhall;Andreas Geiger;Jonathan T. Barron;Peter Hedman,2023
Andreas Geiger,Paper,CoRR,{AG3D:} Learning to Generate 3D Avatars from 2D Image Collections,Zijian Dong;Xu Chen;Jinlong Yang;Michael J. Black;Otmar Hilliges;Andreas Geiger,2023
Andreas Geiger,Paper,CoRR,Towards Scalable Multi-View Reconstruction of Geometry and Materials,Carolin Schmitt;Bozidar Antic;Neculai Andrei;Joo Ho Lee;Andreas Geiger,2023
Andreas Geiger,Paper,CoRR,Hidden Biases of End-to-End Driving Models,Bernhard Jaeger;Kashyap Chitta;Andreas Geiger,2023
Andreas Geiger,Paper,CoRR,Parting with Misconceptions about Learning-based Vehicle Motion Planning,Daniel Dauner;Marcel Hallgarten;Andreas Geiger;Kashyap Chitta,2023
Andreas Geiger,Paper,CoRR,End-to-end Autonomous Driving: Challenges and Frontiers,Li Chen;Penghao Wu;Kashyap Chitta;Bernhard Jaeger;Andreas Geiger;Hongyang Li,2023
Andreas Geiger,Paper,CoRR,On Offline Evaluation of 3D Object Detection for Autonomous Driving,Tim Schreier;Katrin Renz;Andreas Geiger;Kashyap Chitta,2023
Andreas Geiger,Paper,CoRR,PanopticNeRF-360: Panoramic 3D-to-2D Label Transfer in Urban Scenes,Xiao Fu;Shangzhan Zhang;Tianrun Chen;Yichong Lu;Xiaowei Zhou;Andreas Geiger;Yiyi Liao,2023
Andreas Geiger,Paper,CoRR,{GTA:} {A} Geometry-Aware Attention Mechanism for Multi-View Transformers,Takeru Miyato;Bernhard Jaeger;Max Welling;Andreas Geiger,2023
Andreas Geiger,Paper,CoRR,WildFusion: Learning 3D-Aware Latent Diffusion Models in View Space,Katja Schwarz;Seung Wook Kim;Jun Gao;Sanja Fidler;Andreas Geiger;Karsten Kreis,2023
Andreas Geiger,Paper,CoRR,Mip-Splatting: Alias-free 3D Gaussian Splatting,Zehao Yu;Anpei Chen;Binbin Huang;Torsten Sattler;Andreas Geiger,2023
Andreas Geiger,Paper,CoRR,GraphDreamer: Compositional 3D Scene Synthesis from Scene Graphs,"Gege Gao;Weiyang Liu;Anpei Chen;Andreas Geiger;Bernhard Sch{\""{o}}lkopf",2023
Andreas Geiger,Journal,"International Conference on 3D Vision, 3DV 2022, Prague, Czech Republic,
September 12-16, 2022",Panoptic NeRF: 3D-to-2D Label Transfer for Panoptic Urban Scene Segmentation,Xiao Fu;Shangzhan Zhang;Tianrun Chen;Yichong Lu;Lanyun Zhu;Xiaowei Zhou;Andreas Geiger;Yiyi Liao,2022
Andreas Geiger,Journal,"Conference on Robot Learning, CoRL 2022, 14-18 December 2022, Auckland,
New Zealand",PlanT: Explainable Planning Transformers via Object-Level Representations,Katrin Renz;Kashyap Chitta;Otniel{-}Bogdan Mercea;A. Sophia Koepke;Zeynep Akata;Andreas Geiger,2022
Andreas Geiger,Journal,"{IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2022, New Orleans, LA, USA, June 18-24, 2022","RegNeRF: Regularizing Neural Radiance Fields for View Synthesis from
Sparse Inputs",Michael Niemeyer;Jonathan T. Barron;Ben Mildenhall;Mehdi S. M. Sajjadi;Andreas Geiger;Noha Radwan,2022
Andreas Geiger,Journal,"{IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2022, New Orleans, LA, USA, June 18-24, 2022",gDNA: Towards Generative Detailed Neural Avatars,Xu Chen;Tianjian Jiang;Jie Song;Jinlong Yang;Michael J. Black;Andreas Geiger;Otmar Hilliges,2022
Andreas Geiger,Journal,"{IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2022, New Orleans, LA, USA, June 18-24, 2022","{PINA:} Learning a Personalized Implicit Neural Avatar from a Single
{RGB-D} Video Sequence",Zijian Dong;Chen Guo;Jie Song;Xu Chen;Andreas Geiger;Otmar Hilliges,2022
Andreas Geiger,Journal,"Computer Vision - {ECCV} 2022 - 17th European Conference, Tel Aviv,
Israel, October 23-27, 2022, Proceedings, Part {XXXII}",{ARAH:} Animatable Volume Rendering of Articulated Human SDFs,Shaofei Wang;Katja Schwarz;Andreas Geiger;Siyu Tang,2022
Andreas Geiger,Journal,"Computer Vision - {ECCV} 2022 - 17th European Conference, Tel Aviv,
Israel, October 23-27, 2022, Proceedings, Part {XXXII}",TensoRF: Tensorial Radiance Fields,Anpei Chen;Zexiang Xu;Andreas Geiger;Jingyi Yu;Hao Su,2022
Andreas Geiger,Journal,"Computer Vision - {ECCV} 2022 - 17th European Conference, Tel Aviv,
Israel, October 23-27, 2022, Proceedings, Part {XXXVIII}","{KING:} Generating Safety-Critical Driving Scenarios for Robust Imitation
via Kinematics Gradients",Niklas Hanselmann;Katrin Renz;Kashyap Chitta;Apratim Bhattacharyya;Andreas Geiger,2022
Andreas Geiger,Journal,"Proceedings of the 17th International Joint Conference on Computer
Vision, Imaging and Computer Graphics Theory and Applications, {VISIGRAPP}
2022, Volume 1: GRAPP, Online Streaming, February 6-8, 2022",Neural Implicit Representations for 3D Vision and Beyond,Andreas Geiger,2022
Andreas Geiger,Journal,NeurIPS,VoxGRAF: Fast 3D-Aware Image Synthesis with Sparse Voxel Grids,Katja Schwarz;Axel Sauer;Michael Niemeyer;Yiyi Liao;Andreas Geiger,2022
Andreas Geiger,Journal,NeurIPS,"MonoSDF: Exploring Monocular Geometric Cues for Neural Implicit Surface
Reconstruction",Zehao Yu;Songyou Peng;Michael Niemeyer;Torsten Sattler;Andreas Geiger,2022
Andreas Geiger,Journal,"{SIGGRAPH} '22: Special Interest Group on Computer Graphics and Interactive
Techniques Conference, Vancouver, BC, Canada, August 7 - 11, 2022",StyleGAN-XL: Scaling StyleGAN to Large Diverse Datasets,Axel Sauer;Katja Schwarz;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,gDNA: Towards Generative Detailed Neural Avatars,Xu Chen;Tianjian Jiang;Jie Song;Jinlong Yang;Michael J. Black;Andreas Geiger;Otmar Hilliges,2022
Andreas Geiger,Paper,CoRR,StyleGAN-XL: Scaling StyleGAN to Large Diverse Datasets,Axel Sauer;Katja Schwarz;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,"{PINA:} Learning a Personalized Implicit Neural Avatar from a Single
{RGB-D} Video Sequence",Zijian Dong;Chen Guo;Jie Song;Xu Chen;Andreas Geiger;Otmar Hilliges,2022
Andreas Geiger,Paper,CoRR,TensoRF: Tensorial Radiance Fields,Anpei Chen;Zexiang Xu;Andreas Geiger;Jingyi Yu;Hao Su,2022
Andreas Geiger,Paper,CoRR,Panoptic NeRF: 3D-to-2D Label Transfer for Panoptic Urban Scene Segmentation,Xiao Fu;Shangzhan Zhang;Tianrun Chen;Yichong Lu;Lanyun Zhu;Xiaowei Zhou;Andreas Geiger;Yiyi Liao,2022
Andreas Geiger,Paper,CoRR,"{KING:} Generating Safety-Critical Driving Scenarios for Robust Imitation
via Kinematics Gradients",Niklas Hanselmann;Katrin Renz;Kashyap Chitta;Apratim Bhattacharyya;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,"TransFuser: Imitation with Transformer-Based Sensor Fusion for Autonomous
Driving",Kashyap Chitta;Aditya Prakash;Bernhard Jaeger;Zehao Yu;Katrin Renz;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,"MonoSDF: Exploring Monocular Geometric Cues for Neural Implicit Surface
Reconstruction",Zehao Yu;Songyou Peng;Michael Niemeyer;Torsten Sattler;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,VoxGRAF: Fast 3D-Aware Image Synthesis with Sparse Voxel Grids,Katja Schwarz;Axel Sauer;Michael Niemeyer;Yiyi Liao;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,{ARAH:} Animatable Volume Rendering of Articulated Human SDFs,Shaofei Wang;Katja Schwarz;Andreas Geiger;Siyu Tang,2022
Andreas Geiger,Paper,CoRR,PlanT: Explainable Planning Transformers via Object-Level Representations,Katrin Renz;Kashyap Chitta;Otniel{-}Bogdan Mercea;A. Sophia Koepke;Zeynep Akata;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,"NeRFPlayer: {A} Streamable Dynamic Scene Representation with Decomposed
Neural Radiance Fields",Liangchen Song;Anpei Chen;Zhong Li;Zhang Chen;Lele Chen;Junsong Yuan;Yi Xu;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,"Unifying Flow, Stereo and Depth Estimation",Haofei Xu;Jing Zhang;Jianfei Cai;Hamid Rezatofighi;Fisher Yu;Dacheng Tao;Andreas Geiger,2022
Andreas Geiger,Paper,CoRR,Fast-SNARF: {A} Fast Deformer for Articulated Neural Fields,Xu Chen;Tianjian Jiang;Jie Song;Max Rietmann;Andreas Geiger;Michael J. Black;Otmar Hilliges,2022
Andreas Geiger,Paper,CoRR,"{GOOD:} Exploring Geometric Cues for Detecting Objects in an Open
World",Haiwen Huang;Andreas Geiger;Dan Zhang,2022
Andreas Geiger,Paper,Int. J. Comput. Vis.,{HOTA:} {A} Higher Order Metric for Evaluating Multi-object Tracking,Jonathon Luiten;Aljosa Osep;Patrick Dendorfer;Philip H. S. Torr;Andreas Geiger;Laura Leal{-}Taix{\'{e}};Bastian Leibe,2021
Andreas Geiger,Paper,Int. J. Comput. Vis.,Computer Vision and Pattern Recognition 2020,Zeynep Akata;Andreas Geiger;Torsten Sattler,2021
Andreas Geiger,Paper,J. Mach. Learn. Res.,Benchmarking Unsupervised Object Representations for Video Sequences,Marissa A. Weis;Kashyap Chitta;Yash Sharma;Wieland Brendel;Matthias Bethge;Andreas Geiger;Alexander S. Ecker,2021
Andreas Geiger,Paper,{IEEE} Trans. Image Process.,Learning Steering Kernels for Guided Depth Completion,Lina Liu;Yiyi Liao;Yue Wang;Andreas Geiger;Yong Liu,2021
Andreas Geiger,Journal,"International Conference on 3D Vision, 3DV 2021, London, United Kingdom,
December 1-3, 2021",{CAMPARI:} Camera-Aware Decomposed Generative Neural Radiance Fields,Michael Niemeyer;Andreas Geiger,2021
Andreas Geiger,Journal,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR}
2021, virtual, June 19-25, 2021","Neural Parts: Learning Expressive 3D Shape Abstractions With Invertible
Neural Networks",Despoina Paschalidou;Angelos Katharopoulos;Andreas Geiger;Sanja Fidler,2021
Andreas Geiger,Journal,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR}
2021, virtual, June 19-25, 2021",Multi-Modal Fusion Transformer for End-to-End Autonomous Driving,Aditya Prakash;Kashyap Chitta;Andreas Geiger,2021
Andreas Geiger,Journal,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR}
2021, virtual, June 19-25, 2021",Locally Aware Piecewise Transformation Fields for 3D Human Mesh Registration,Shaofei Wang;Andreas Geiger;Siyu Tang,2021
Andreas Geiger,Journal,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR}
2021, virtual, June 19-25, 2021",SMD-Nets: Stereo Mixture Density Networks,Fabio Tosi;Yiyi Liao;Carolin Schmitt;Andreas Geiger,2021
Andreas Geiger,Journal,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR}
2021, virtual, June 19-25, 2021","{GIRAFFE:} Representing Scenes As Compositional Generative Neural
Feature Fields",Michael Niemeyer;Andreas Geiger,2021
Andreas Geiger,Journal,"2021 {IEEE/CVF} International Conference on Computer Vision, {ICCV}
2021, Montreal, QC, Canada, October 10-17, 2021","{UNISURF:} Unifying Neural Implicit Surfaces and Radiance Fields for
Multi-View Reconstruction",Michael Oechsle;Songyou Peng;Andreas Geiger,2021
Andreas Geiger,Journal,"2021 {IEEE/CVF} International Conference on Computer Vision, {ICCV}
2021, Montreal, QC, Canada, October 10-17, 2021","{SNARF:} Differentiable Forward Skinning for Animating Non-Rigid Neural
Implicit Shapes",Xu Chen;Yufeng Zheng;Michael J. Black;Otmar Hilliges;Andreas Geiger,2021
Andreas Geiger,Journal,"2021 {IEEE/CVF} International Conference on Computer Vision, {ICCV}
2021, Montreal, QC, Canada, October 10-17, 2021",{SLIM:} Self-Supervised LiDAR Scene Flow and Motion Segmentation,"Stefan Andreas Baur;David Josef Emmerichs;Frank Moosmann;Peter Pinggera;Bj{\""{o}}rn Ommer;Andreas Geiger",2021
Andreas Geiger,Journal,"2021 {IEEE/CVF} International Conference on Computer Vision, {ICCV}
2021, Montreal, QC, Canada, October 10-17, 2021","KiloNeRF: Speeding up Neural Radiance Fields with Thousands of Tiny
MLPs",Christian Reiser;Songyou Peng;Yiyi Liao;Andreas Geiger,2021
Andreas Geiger,Journal,"2021 {IEEE/CVF} International Conference on Computer Vision, {ICCV}
2021, Montreal, QC, Canada, October 10-17, 2021",{NEAT:} Neural Attention Fields for End-to-End Autonomous Driving,Kashyap Chitta;Aditya Prakash;Andreas Geiger,2021
Andreas Geiger,Journal,"9th International Conference on Learning Representations, {ICLR} 2021,
Virtual Event, Austria, May 3-7, 2021",Counterfactual Generative Networks,Axel Sauer;Andreas Geiger,2021
Andreas Geiger,Journal,"{IEEE} Intelligent Vehicles Symposium, {IV} 2021, Nagoya, Japan, July
11-17, 2021",Learning Cascaded Detection Tasks with Weakly-Supervised Domain Adaptation,Niklas Hanselmann;Nick Schneider;Benedikt Ortelt;Andreas Geiger,2021
Andreas Geiger,Journal,"Advances in Neural Information Processing Systems 34: Annual Conference
on Neural Information Processing Systems 2021, NeurIPS 2021, December
6-14, 2021, virtual","MetaAvatar: Learning Animatable Clothed Human Models from Few Depth
Images",Shaofei Wang;Marko Mihajlovic;Qianli Ma;Andreas Geiger;Siyu Tang,2021
Andreas Geiger,Journal,"Advances in Neural Information Processing Systems 34: Annual Conference
on Neural Information Processing Systems 2021, NeurIPS 2021, December
6-14, 2021, virtual",{ATISS:} Autoregressive Transformers for Indoor Scene Synthesis,Despoina Paschalidou;Amlan Kar;Maria Shugrina;Karsten Kreis;Andreas Geiger;Sanja Fidler,2021
Andreas Geiger,Journal,"Advances in Neural Information Processing Systems 34: Annual Conference
on Neural Information Processing Systems 2021, NeurIPS 2021, December
6-14, 2021, virtual",Shape As Points: {A} Differentiable Poisson Solver,Songyou Peng;Chiyu Jiang;Yiyi Liao;Michael Niemeyer;Marc Pollefeys;Andreas Geiger,2021
Andreas Geiger,Journal,"Advances in Neural Information Processing Systems 34: Annual Conference
on Neural Information Processing Systems 2021, NeurIPS 2021, December
6-14, 2021, virtual",Projected GANs Converge Faster,"Axel Sauer;Kashyap Chitta;Jens M{\""{u}}ller;Andreas Geiger",2021
Andreas Geiger,Journal,"Advances in Neural Information Processing Systems 34: Annual Conference
on Neural Information Processing Systems 2021, NeurIPS 2021, December
6-14, 2021, virtual",On the Frequency Bias of Generative Models,Katja Schwarz;Yiyi Liao;Andreas Geiger,2021
Andreas Geiger,Journal,"Proceedings of the Neural Information Processing Systems Track on
Datasets and Benchmarks 1, NeurIPS Datasets and Benchmarks 2021, December
2021, virtual",{STEP:} Segmenting and Tracking Every Pixel,Mark Weber;Jun Xie;Maxwell D. Collins;Yukun Zhu;Paul Voigtlaender;Hartwig Adam;Bradley Green;Andreas Geiger;Bastian Leibe;Daniel Cremers;Aljosa Osep;Laura Leal{-}Taix{\'{e}};Liang{-}Chieh Chen,2021
Andreas Geiger,Paper,CoRR,Counterfactual Generative Networks,Axel Sauer;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,{STEP:} Segmenting and Tracking Every Pixel,Mark Weber;Jun Xie;Maxwell D. Collins;Yukun Zhu;Paul Voigtlaender;Hartwig Adam;Bradley Green;Andreas Geiger;Bastian Leibe;Daniel Cremers;Aljosa Osep;Laura Leal{-}Taix{\'{e}};Liang{-}Chieh Chen,2021
Andreas Geiger,Paper,CoRR,"Neural Parts: Learning Expressive 3D Shape Abstractions with Invertible
Neural Networks",Despoina Paschalidou;Angelos Katharopoulos;Andreas Geiger;Sanja Fidler,2021
Andreas Geiger,Paper,CoRR,"KiloNeRF: Speeding up Neural Radiance Fields with Thousands of Tiny
MLPs",Christian Reiser;Songyou Peng;Yiyi Liao;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,{CAMPARI:} Camera-Aware Decomposed Generative Neural Radiance Fields,Michael Niemeyer;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,SMD-Nets: Stereo Mixture Density Networks,Fabio Tosi;Yiyi Liao;Carolin Schmitt;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,"{SNARF:} Differentiable Forward Skinning for Animating Non-Rigid Neural
Implicit Shapes",Xu Chen;Yufeng Zheng;Michael J. Black;Otmar Hilliges;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,Locally Aware Piecewise Transformation Fields for 3D Human Mesh Registration,Shaofei Wang;Andreas Geiger;Siyu Tang,2021
Andreas Geiger,Paper,CoRR,Multi-Modal Fusion Transformer for End-to-End Autonomous Driving,Aditya Prakash;Kashyap Chitta;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,"{UNISURF:} Unifying Neural Implicit Surfaces and Radiance Fields for
Multi-View Reconstruction",Michael Oechsle;Songyou Peng;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,Shape As Points: {A} Differentiable Poisson Solver,"Songyou Peng;Chiyu ""Max"" Jiang;Yiyi Liao;Michael Niemeyer;Marc Pollefeys;Andreas Geiger",2021
Andreas Geiger,Paper,CoRR,"MetaAvatar: Learning Animatable Clothed Human Models from Few Depth
Images",Shaofei Wang;Marko Mihajlovic;Qianli Ma;Andreas Geiger;Siyu Tang,2021
Andreas Geiger,Paper,CoRR,Learning Cascaded Detection Tasks with Weakly-Supervised Domain Adaptation,Niklas Hanselmann;Nick Schneider;Benedikt Ortelt;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,{NEAT:} Neural Attention Fields for End-to-End Autonomous Driving,Kashyap Chitta;Aditya Prakash;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,"{KITTI-360:} {A} Novel Dataset and Benchmarks for Urban Scene Understanding
in 2D and 3D",Yiyi Liao;Jun Xie;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,{ATISS:} Autoregressive Transformers for Indoor Scene Synthesis,Despoina Paschalidou;Amlan Kar;Maria Shugrina;Karsten Kreis;Andreas Geiger;Sanja Fidler,2021
Andreas Geiger,Paper,CoRR,Projected GANs Converge Faster,"Axel Sauer;Kashyap Chitta;Jens M{\""{u}}ller;Andreas Geiger",2021
Andreas Geiger,Paper,CoRR,On the Frequency Bias of Generative Models,Katja Schwarz;Yiyi Liao;Andreas Geiger,2021
Andreas Geiger,Paper,CoRR,"RegNeRF: Regularizing Neural Radiance Fields for View Synthesis from
Sparse Inputs",Michael Niemeyer;Jonathan T. Barron;Ben Mildenhall;Mehdi S. M. Sajjadi;Andreas Geiger;Noha Radwan,2021
Andreas Geiger,Paper,Found. Trends Comput. Graph. Vis.,"Computer Vision for Autonomous Vehicles: Problems, Datasets and State
of the Art","Joel Janai;Fatma G{\""{u}}ney;Aseem Behl;Andreas Geiger",2020
Andreas Geiger,Paper,Int. J. Comput. Vis.,Learning 3D Shape Completion Under Weak Supervision,David Stutz;Andreas Geiger,2020
Andreas Geiger,Paper,{IEEE} Robotics Autom. Lett.,Self-Supervised Linear Motion Deblurring,Peidong Liu;Joel Janai;Marc Pollefeys;Torsten Sattler;Andreas Geiger,2020
Andreas Geiger,Journal,"8th International Conference on 3D Vision, 3DV 2020, Virtual Event,
Japan, November 25-28, 2020",Learning Implicit Surface Light Fields,Michael Oechsle;Michael Niemeyer;Christian Reiser;Lars M. Mescheder;Thilo Strauss;Andreas Geiger,2020
Andreas Geiger,Journal,"8th International Conference on 3D Vision, 3DV 2020, Virtual Event,
Japan, November 25-28, 2020","Intrinsic Autoencoders for Joint Deferred Neural Rendering and Intrinsic
Image Decomposition",Hassan Abu Alhaija;Siva Karthik Mustikovela;Justus Thies;Varun Jampani;Matthias Nie{\ss}ner;Andreas Geiger;Carsten Rother,2020
Andreas Geiger,Journal,"2020 {IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2020, Seattle, WA, USA, June 13-19, 2020","Learning Unsupervised Hierarchical Part Decomposition of 3D Objects
From a Single {RGB} Image",Despoina Paschalidou;Luc Van Gool;Andreas Geiger,2020
Andreas Geiger,Journal,"2020 {IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2020, Seattle, WA, USA, June 13-19, 2020","On Joint Estimation of Pose, Geometry and svBRDF From a Handheld Scanner",Carolin Schmitt;Simon Donn{\'{e}};Gernot Riegler;Vladlen Koltun;Andreas Geiger,2020
Andreas Geiger,Journal,"2020 {IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2020, Seattle, WA, USA, June 13-19, 2020","Differentiable Volumetric Rendering: Learning Implicit 3D Representations
Without 3D Supervision",Michael Niemeyer;Lars M. Mescheder;Michael Oechsle;Andreas Geiger,2020
Andreas Geiger,Journal,"2020 {IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2020, Seattle, WA, USA, June 13-19, 2020","Towards Unsupervised Learning of Generative Models for 3D Controllable
Image Synthesis",Yiyi Liao;Katja Schwarz;Lars M. Mescheder;Andreas Geiger,2020
Andreas Geiger,Journal,"2020 {IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2020, Seattle, WA, USA, June 13-19, 2020",Learning Situational Driving,Eshed Ohn{-}Bar;Aditya Prakash;Aseem Behl;Kashyap Chitta;Andreas Geiger,2020
Andreas Geiger,Journal,"2020 {IEEE/CVF} Conference on Computer Vision and Pattern Recognition,
{CVPR} 2020, Seattle, WA, USA, June 13-19, 2020","Exploring Data Aggregation in Policy Learning for Vision-Based Urban
Autonomous Driving",Aditya Prakash;Aseem Behl;Eshed Ohn{-}Bar;Kashyap Chitta;Andreas Geiger,2020
Andreas Geiger,Journal,"Computer Vision - {ECCV} 2020 - 16th European Conference, Glasgow,
UK, August 23-28, 2020, Proceedings, Part {XXVI}",Category Level Object Pose Estimation via Neural Analysis-by-Synthesis,Xu Chen;Zijian Dong;Jie Song;Andreas Geiger;Otmar Hilliges,2020
Andreas Geiger,Journal,"Computer Vision - {ECCV} 2020 - 16th European Conference, Glasgow,
UK, August 23-28, 2020, Proceedings, Part {III}",Convolutional Occupancy Networks,Songyou Peng;Michael Niemeyer;Lars M. Mescheder;Marc Pollefeys;Andreas Geiger,2020
Andreas Geiger,Journal,"{IEEE/RSJ} International Conference on Intelligent Robots and Systems,
{IROS} 2020, Las Vegas, NV, USA, October 24, 2020 - January 24, 2021",Label Efficient Visual Abstractions for Autonomous Driving,Aseem Behl;Kashyap Chitta;Aditya Prakash;Eshed Ohn{-}Bar;Andreas Geiger,2020
Andreas Geiger,Journal,"Advances in Neural Information Processing Systems 33: Annual Conference
on Neural Information Processing Systems 2020, NeurIPS 2020, December
6-12, 2020, virtual",{GRAF:} Generative Radiance Fields for 3D-Aware Image Synthesis,Katja Schwarz;Yiyi Liao;Michael Niemeyer;Andreas Geiger,2020
Andreas Geiger,Paper,CoRR,Self-Supervised Linear Motion Deblurring,Peidong Liu;Joel Janai;Marc Pollefeys;Torsten Sattler;Andreas Geiger,2020
Andreas Geiger,Paper,CoRR,Convolutional Occupancy Networks,Songyou Peng;Michael Niemeyer;Lars M. Mescheder;Marc Pollefeys;Andreas Geiger,2020
Andreas Geiger,Paper,CoRR,Learning Implicit Surface Light Fields,Michael Oechsle;Michael Niemeyer;Lars M. Mescheder;Thilo Strauss;Andreas Geiger,2020
Andreas Geiger,Paper,CoRR,"Learning Unsupervised Hierarchical Part Decomposition of 3D Objects
from a Single {RGB} Image",Despoina Paschalidou;Luc Van Gool;Andreas Geiger,2020
Andreas Geiger,Paper,CoRR,Label Efficient Visual Abstractions for Autonomous Driving,Aseem Behl;Kashyap Chitta;Aditya Prakash;Eshed Ohn{-}Bar;Andreas Geiger,2020
